ESP	CEC	WATER.CAPACITY	BULK.DENSITY	CARBON	SATURATION	Conductivity	NITROGEN	pH	rfclassifier
3	54	11	1.39	8	100	0.09	0.92	6.2	class1
2	44	18	1.45	3.3	95	0.08	0.5	6.2	class1
2	58	7	1.41	4	87	0.1	0.5	6.7	class1
1	72	6	1.53	1.1	82	0.1	0.4	7.8	class1
1	41	14	1.32	2.3	83	9.8	0.4	7.8	class1
1	32	15	1.4	4.9	80	0.19	0.6	7.8	class1
1	1	6	1.25	2	84	0.05	0.2	7.6	class1
3	1	8	1.25	2	45	0.03	0.2	7.7	class1
2	18	4	1.48	8.42	49	0.06	0.88	7.7	class1
2	32	15	1.4	4.9	42	0.19	0.6	7.5	class1
2	37	2	1.51	3.6	43	0.1	0.3	7.5	class1
3	32	15	1.4	4.9	40	0.19	0.6	7.5	class1
2	24	10	1.2	29.39	69	0	2.62	7.5	class1
2	44	9	1.54	3.35	40	0	0.47	7.5	class1
2	50	11	1.25	16.77	39	0	1.44	7.5	class1
2	68	5	1.52	1.31	45	0	0.39	7	class1
4	10	12	1.34	6.05	63	0	1.04	5.8	class1
2	39	10	1.45	30	80	0	1.4	5.8	class1
2	57	14	1.29	5.88	80	0	0.68	6.1	class1
2	56	8	1.5	3.31	80	0	0.43	6.1	class1
2	31	11	1.5	3	80	0	0.5	5.1	class2
2	31	11	1.5	3	80	0	0.5	5.8	class1
2	31	11	1.5	3	25	0	0.5	5.6	class1
2	9	10	1.22	15.55	38	0	1.43	5.8	class1
2	37	14	1.41	2.9	45	0	0.4	5.1	class2
3	57	10	1.48	8.1	49	0	0.76	5.8	class1
3	16	7	1.24	5	45	0	0.7	5.6	class1
2	43	6	1.25	9.8	40	0	0.7	5.8	class1
2	77	7	1.51	3.1	40	0	0.2	7.14	class1
2	84	10	1.5	2.95	24	0	0.2	4.5	class1
3	93	11	1.5	2.8	29	0	0.2	4.9	class1
3	52	18	1.44	5.3	30	0	0.7	5	class1
3	24	8	1.2	2.9	98	0	0.84	6	class1
3	24	8	1.22	2.9	80	0	0.61	4.2	class2
3	39	10	1.45	2.1	76	0	0.39	5.6	class1
3	51	11	1.4	5.28	63	0	0.57	5	class1
2	16	7	1.5	15	40	0	1.4	6	class1
2	30	11	1.5	4	40	0	0.56	4.8	class2
2	35	11	1.48	1.6	24	0	0.3	6	class1
3	16	8	1.2	5	29	0	0.7	5	class2
3	16	8	1.2	5	30	0	0.7	4.6	class2
2	84	14	1.4	4.4	23	0	0.6	5.1	class1
5	8	7	1.24	2.6	20	0	0.4	4.9	class2
2	30	11	1.5	4	22	0	0.56	8.4	class2
3	38	17	1.3	5.05	28	0	0.7	8.1	class2
3	33	10	1.46	5.35	26	0	0.77	8.1	class2
3	47	14	1.38	7.9	45	0	0.8	8	class1
4	76	11	1.4	4	74	0	0.6	7.9	class1
3	18	12	1.4	7	76	0	0.6	8	class1
4	84	17	1.26	4.4	73	0	0.6	8.1	class1
4	55	18	1.45	9.2	74	0	1	3.49	class1
2	8	8	1.2	2.6	14	0	0.4	3.25	class2
2	38	17	1.3	5.05	20	0	0.7	3.03	class2
2	18	5	1.53	6.03	22	0	0.65	3.7	class2
2	39	10	1.45	2.1	28	0	0.39	3.57	class2
2	18	12	1.36	7	26	0	0.6	3.39	class2
2	18	8	1.3	8.3	16	0	1	6.08	class1
2	84	16	1.39	4.4	20	0	0.6	6.08	class1
2	11	5	1.53	10.73	22	0	1.02	6.08	class1
2	50	14	1.38	17	28	0	1.65	5.65	class1
2	66	13	1.37	5.25	26	0	0.67	5.65	class1
2	41	19	1.3	3.05	45	0	0.6	5.65	class1
3	15	7	1.4	11.48	34	0	1.12	7.65	class1
3	35	11	1.37	3.65	26	0	0.4	7.65	class1
2	19	6	1.49	3.1	36	0	0.31	7.65	class1
2	18	10	1.45	2	38	0	0.48	5.1	class2
2	17	4	1.48	5.9	39	0	0.62	5.1	class2
2	30	14	1.16	40.3	20	0	4.24	5.1	class2
4	16	4	1.48	12.25	22	0	1.25	5.19	class2
4	16	4	1.51	3.22	28	0	0.45	5.19	class2
4	16	10	1.37	15.15	26	0	1.5	5.19	class2
2	56	10	1.57	2.55	45	0	0.46	5.41	class1
3	7	14	1.38	31	34	0	1.06	6.13	class1
3	24	9	1.33	20.99	26	0	2.61	4.86	class2
2	15	12	1.4	4.7	36	0	1	5.9	class1
2	24	9	1.2	4.35	38	0	0.85	4.58	class2
1	38	18	1.44	15.8	25	0	1.84	5.04	class2
2	22	5	1.5	3.42	40	0	0.35	7.24	class1
1	23	10	1.3	11	25	0	1.4	6.84	class1
1	16	4	1.49	4	25	0	0.5	5.82	class1
1	13	10	1.32	9.1	25	0	1.2	4.7	class2
3	12	12	1.38	3.6	86	0	0.57	6.59	class1
2	10	12	1.46	9	86	0	0.5	7.29	class1
2	39	11	1.47	3	88	0	0.6	5.05	class2
2	36	6	1.46	15	88	0	0.96	4.92	class2
2	38	11	1.33	9.8	100	0	1.1	4.3	class2
2	15	5	1.46	2.4	38	0	0.3	4.56	class2
2	17	10	1.29	18	33	0	2	5.19	class2
2	15	5	1.44	2.4	32	0	0.3	4.98	class2
2	16	4	1.48	11	30	0	1	4.41	class2
2	39	12	1.49	3	48	0	0.7	5.47	class2
2	58	17	1.46	5	45	0	0.9	6.14	class1
2	9	11	1.4	20	45	0	0.61	5.7	class1
1	55	12	1.27	13.6	38	0	1.62	4.83	class1
2	38	13	1.39	9.6	49	0	1.08	6.11	class1
2	37	13	1.5	3	45	0	0.5	5.27	class2
1	42	10	1.46	14.5	25	0	0.67	6.54	class1
2	16	6	1.45	5.65	40	0	0.7	6.65	class1
1	21	12	1.39	11.5	25	0	0.75	7.4	class1
1	69	17	1.3	16.02	25	0	1.55	8	class1
1	52	8	1.51	2.8	25	0	0.53	8.2	class1
2	18	4	1.5	1.9	90	0	0.2	8.1	class1
2	44	14	1.37	3.43	95	0	0.4	8.2	class1
3	7	5	1.2	5.96	40	0	0.81	8.3	class2
2	39	10	1.49	3	10	0	0.4	8.2	class2
