O3	BA_P	PM2.5	SO2	NO2	airclass
111	7.73	17.9	29.8	15.9	class2
120.3	15.11	19.2	20.5	43.8	class2
107.6	10.91	9.6	34.6	19.4	class2
114	2.16	11.4	11.5	16.7	class2
104.9	2.84	24.2	7.1	48.5	class2
114.9	2.36	17	9.9	39.6	class2
107.1	6.52	20.1	16.9	44	class2
110.9	3.3	15.1	17.9	36.5	class2
118.8	6.32	12.1	26.1	28.3	class2
104.5	3.56	14.2	10	27.9	class2
107.9	5.98	17.9	4.9	29.7	class2
117.3	8.64	15.2	15.4	29.6	class2
94.3	1.67	14.6	4.9	41.1	class2
122.6	4.56	18.8	89.5	28.4	class2
92.4	1.79	15.4	21.2	32.4	class2
105.1	7.73	15.3	51.8	24.8	class2
89.1	5.41	11.8	27.9	23.7	class2
85.9	4.95	13.5	26.8	27.3	class2
109.4	0.44	15.6	13	29.2	class2
117.6	9.58	14.1	7.8	25.1	class2
130.5	4.69	15.8	43.5	63.7	class2
109.6	1.84	15.5	8.6	15.2	class2
121	6.98	16.3	6.3	22.6	class2
124.3	7.07	12.4	18.3	25.7	class2
109.8	4.99	15.3	4.7	41.4	class2
110.4	8.61	17.7	1.4	37.5	class2
123.3	11.77	15.7	0.9	56.7	class2
124.4	1.17	15.2	1.3	47.4	class2
104.5	3.96	15.4	4.2	54.4	class2
113.9	1.64	14.4	3.4	37.5	class2
108.9	3.7	14.9	3.2	57.6	class2
104.5	1.1	12	3.1	53.6	class2
114.3	1.2	17.5	14.4	38.9	class2
