pH	CEC	ESP	Conductivity	NITROGEN	rfeextract
4.8	30	2	0	0.56	class1
6	35	2	0	0.3	class1
5	16	3	0	0.7	class2
4.6	16	3	0	0.7	class2
5.1	84	2	0	0.6	class1
4.9	8	5	0	0.4	class2
8.4	30	2	0	0.56	class1
8.1	38	3	0	0.7	class1
8.1	33	3	0	0.77	class1
8	47	3	0	0.8	class1
7.9	76	4	0	0.6	class1
8	18	3	0	0.6	class1
8.1	84	4	0	0.6	class1
3.49	55	4	0	1	class1
3.25	8	2	0	0.4	class2
3.03	38	2	0	0.7	class2
3.7	18	2	0	0.65	class2
3.57	39	2	0	0.39	class2
3.39	18	2	0	0.6	class2
6.08	18	2	0	1	class1
6.08	84	2	0	0.6	class1
6.08	11	2	0	1.02	class1
5.65	50	2	0	1.65	class1
5.65	66	2	0	0.67	class1
5.65	41	2	0	0.6	class1
7.65	15	3	0	1.12	class1
7.65	35	3	0	0.4	class1
7.65	19	2	0	0.31	class1
5.1	18	2	0	0.48	class2
5.1	17	2	0	0.62	class2
5.1	30	2	0	4.24	class2
5.19	16	4	0	1.25	class2
5.19	16	4	0	0.45	class2
5.19	16	4	0	1.5	class2
5.41	56	2	0	0.46	class1
6.13	7	3	0	1.06	class1
4.86	24	3	0	2.61	class2
5.9	15	2	0	1	class1
4.58	24	2	0	0.85	class2
5.04	38	1	0	1.84	class1
7.24	22	2	0	0.35	class1
6.84	23	1	0	1.4	class1
5.82	16	1	0	0.5	class1
4.7	13	1	0	1.2	class2
6.59	12	3	0	0.57	class1
7.29	10	2	0	0.5	class1
5.05	39	2	0	0.6	class1
4.92	36	2	0	0.96	class1
4.3	38	2	0	1.1	class1
4.56	15	2	0	0.3	class2
5.19	17	2	0	2	class2
4.98	15	2	0	0.3	class2
4.41	16	2	0	1	class2
5.47	39	2	0	0.7	class1
6.14	58	2	0	0.9	class1
5.7	9	2	0	0.61	class1
4.83	55	1	0	1.62	class1
6.11	38	2	0	1.08	class1
5.27	37	2	0	0.5	class1
6.54	42	1	0	0.67	class1
6.65	16	2	0	0.7	class1
7.4	21	1	0	0.75	class1
8	69	1	0	1.55	class1
8.2	52	1	0	0.53	class1
8.1	18	2	0	0.2	class1
8.2	44	2	0	0.4	class1
8.3	7	3	0	0.81	class1
8.2	39	2	0	0.4	class1
