O3	PM10	NO2	BA_P	PM2.5	chiextract
93.1	42.8	28.5	0.77	14.6	class1
101.3	43.4	49.6	4.53	12.5	class2
115.8	42.4	63.8	9.54	19.2	class2
128.9	31.7	65.2	4.71	16.6	class2
125.9	40.2	34.1	2.19	15.2	class2
115.8	38.9	33.1	2.17	14.7	class2
111.9	36.4	23.5	5.57	18.4	class2
101.5	34.2	44	4.6	17.2	class2
79.4	33	14.9	6.51	20.8	class1
121.8	34.7	32.2	4.35	23.3	class2
118.1	30	21.6	5.03	17.5	class2
114.4	32.4	21.3	0.66	17.7	class2
97.2	40.8	14.4	1.81	16.6	class1
114.9	33.1	18.7	3.13	13.4	class2
127.3	31.4	19.7	4.74	19	class2
111	27.8	15.9	7.73	17.9	class2
120.3	34.1	43.8	15.11	19.2	class2
107.6	39.4	19.4	10.91	9.6	class2
114	26.9	16.7	2.16	11.4	class2
104.9	34.1	48.5	2.84	24.2	class2
114.9	32.9	39.6	2.36	17	class2
107.1	30.1	44	6.52	20.1	class2
110.9	30.4	36.5	3.3	15.1	class2
118.8	25.6	28.3	6.32	12.1	class2
104.5	27.6	27.9	3.56	14.2	class2
107.9	25.1	29.7	5.98	17.9	class2
117.3	39.5	29.6	8.64	15.2	class2
94.3	37.6	41.1	1.67	14.6	class2
122.6	26.9	28.4	4.56	18.8	class2
92.4	25.7	32.4	1.79	15.4	class2
105.1	38	24.8	7.73	15.3	class2
89.1	41.2	23.7	5.41	11.8	class1
85.9	42.3	27.3	4.95	13.5	class1
109.4	40.2	29.2	0.44	15.6	class2
117.6	38.1	25.1	9.58	14.1	class2
130.5	32.2	63.7	4.69	15.8	class2
109.6	38.3	15.2	1.84	15.5	class2
121	43.1	22.6	6.98	16.3	class2
124.3	40	25.7	7.07	12.4	class2
109.8	41.3	41.4	4.99	15.3	class2
110.4	38.1	37.5	8.61	17.7	class2
123.3	38.6	56.7	11.77	15.7	class2
124.4	40.3	47.4	1.17	15.2	class2
104.5	35.5	54.4	3.96	15.4	class2
113.9	33.7	37.5	1.64	14.4	class2
108.9	36.6	57.6	3.7	14.9	class2
104.5	36	53.6	1.1	12	class2
114.3	37.7	38.9	1.2	17.5	class2
